f,S_ML
75,8049.839897
75.2,26055.22352
75.4,10287.91122
75.6,26694.27689
75.8,28906.89561
76,22926.8841
76.2,44473.84471
76.4,14546.04748
76.6,8027.54894
76.8,32122.73477
77,105059.7163
77.2,136308.0604
77.4,61308.50294
77.6,17179.59289
77.8,13654.2429
78,16236.80263
78.2,10259.70563
78.4,29819.21369
78.6,86017.3025
78.8,29508.64222
79,26716.30622
79.2,44554.59416
79.4,20435.10076
79.6,9005.384999
79.8,13166.13321
80,22964.18824
80.2,24556.89173
80.4,22157.84288
80.6,45898.98156
80.8,49069.1637
81,17263.81325
81.2,23069.42474
81.4,15511.81547
81.6,19888.74109
81.8,20683.14598
82,6190.5317
82.2,4508.696108
82.4,1919.467948
82.6,12132.29552
82.8,20691.53506
83,14222.90896
83.2,13288.34246
83.4,10552.62491
83.6,63405.89702
83.8,96218.0067
84,24679.52239
84.2,12759.80933
84.4,20231.29106
84.6,17384.47999
84.8,7618.949492
85,17437.88547
85.2,15745.66406
85.4,27304.33824
85.6,14423.31967
85.8,18931.30502
86,16984.49824
86.2,14346.92643
86.4,23378.21857
86.6,32352.03732
86.8,8447.811516
87,26916.05175
87.2,52779.30099
87.4,84656.4117
87.6,83585.65487
87.8,28619.83652
88,16852.69054
88.2,10383.79872
88.4,5781.115476
88.6,17449.28928
88.8,34193.95516
89,31847.54151
89.2,5875.01616
89.4,5096.316933
89.6,39909.28629
89.8,21118.62116
90,8676.491593
90.2,26254.75758
90.4,38796.97251
90.6,29662.47434
90.8,12243.32712
91,15549.056
91.2,8467.520102
91.4,5054.193748
91.6,10906.6381
91.8,29549.33221
92,19520.08143
92.2,14598.56898
92.4,3600.06516
92.6,6410.064274
92.8,13342.91472
93,17010.25831
93.2,28105.40898
93.4,19700.55456
93.6,17080.19159
93.8,12810.71203
94,8695.399313
94.2,29883.07229
94.4,32784.81379
94.6,10698.50071
94.8,5714.72271
95,14581.94729
95.2,66182.49407
95.4,63009.95449
95.6,11154.95618
95.8,10256.50247
96,3725.358506
96.2,9869.200135
96.4,16937.20279
96.6,25906.77599
96.8,21009.94445
97,19241.59349
97.2,27291.14176
97.4,11762.69309
97.6,45373.28566
97.8,55429.02662
98,15729.23351
98.2,41245.13827
98.4,68659.62657
98.6,32482.8976
98.8,7543.477482
99,36187.31517
99.2,33852.91255
99.4,28258.73796
99.6,29518.7084
99.8,9854.569233
100,27664.13436
100,125827.4923
102,109035.5778
104,74075.83065
106,64857.99159
108,47415.07992
110,71198.78896
112,99027.69335
114,83459.06665
116,90368.64292
118,69717.60163
120,96274.13637
122,91949.8684
124,70229.82944
126,96275.96207
128,78429.62456
130,57232.76417
132,68752.21875
134,64132.30321
136,63371.48142
138,53203.1734
140,72151.05973
142,83090.99979
144,55324.99684
146,51187.61315
148,70241.5921
150,71434.26639
152,61381.97118
154,55863.80089
156,48029.64425
158,40910.74714
160,35708.86685
162,24090.61967
164,40309.3221
166,42514.8823
168,53015.66806
170,66904.86006
172,58539.85137
174,28817.06423
176,44167.13649
178,341161.8956
180,1339935.754
182,388189.2078
184,29399.15332
186,38091.42805
188,37871.89768
190,44188.89786
192,49950.61802
194,49460.01551
196,52913.01144
198,69160.61687
200,54664.56854
202,61128.50421
204,67911.36191
206,36282.34963
208,55872.37194
210,70640.86568
212,88511.80501
214,107211.5935
216,106155.9733
218,119176.2733
220,111033.2045
222,76040.85753
224,88962.26196
226,108601.6266
228,123673.5824
230,63088.88766
232,64557.58497
234,76676.24611
236,136604.4904
238,129617.5657
240,90658.59768
242,58303.40438
244,51671.2377
246,966544.3452
248,4269259.696
250,1253315.68
252,75325.91919
254,59476.71252
256,103445.022
258,70706.12475
260,69055.44222
262,86978.35377
264,52085.22697
266,34492.28055
268,32723.39936
270,20367.16877
272,19603.32458
274,33138.37446
276,26866.51793
278,21301.14271
280,14929.7573
282,18365.7631
284,27487.25651
286,18589.53881
288,22471.92576
290,23999.30384
292,28229.32417
294,28815.03534
296,24593.55683
298,44018.87906
300,113436.3881
302,43205.02673
304,32344.48696
306,38366.78802
308,40103.04027
310,29654.66535
312,32115.96389
314,30683.86816
316,23404.63756
318,27911.7046
320,24698.30316
322,31911.90804
324,31072.42048
326,25460.34969
328,26857.68587
330,22378.49139
332,19245.65165
334,18897.50189
336,19066.85662
338,19065.57164
340,18645.805
342,14432.11549
344,20425.77225
346,21422.61516
348,20200.58897
350,17287.78849
352,18039.44096
354,15995.46855
356,22665.37868
358,19689.46779
360,15418.98087
362,14392.77187
364,10650.06085
366,11393.83791
368,12442.38162
370,20961.8226
372,32471.50805
374,16095.93702
376,10320.8601
378,10157.5743
380,13180.14899
382,18200.8511
384,18715.30596
386,15794.59572
388,13338.3628
390,10328.81321
392,16164.41864
394,19776.72405
396,22375.47687
398,17637.21451
400,20511.66821
402,16145.60571
404,13169.58264
406,11066.85274
408,9648.056722
410,13272.38995
412,12146.36709
414,15378.06566
416,22094.0024
418,17495.76003
420,20984.72728
422,13747.35708
424,19689.29744
426,17099.98684
428,21563.5063
430,17336.12015
432,16032.41092
434,11579.15626
436,8649.588886
438,11924.36154
440,16870.89462
442,16821.75901
444,16152.40722
446,22620.66475
448,25569.37716
450,20464.81113
452,23039.67405
454,29200.16203
456,26119.48903
458,27268.48759
460,22680.87897
462,25053.47896
464,22244.57227
466,19890.01374
468,23067.01072
470,26988.99576
472,19334.97675
474,18429.0486
476,19363.50453
478,22530.29249
480,12557.96334
482,12922.8532
484,15474.02746
486,8929.274787
488,11386.99956
490,11791.77594
492,9286.201276
494,13042.41178
496,20095.00452
498,13939.40963
500,9050.020558
502,13133.17077
504,11991.98695
506,7294.311067
508,9752.308077
510,18543.82917
512,14791.72675
514,13167.30913
516,14659.07572
518,9514.90607
520,6745.208614
522,13976.10341
524,13953.16338
526,12481.08692
528,13127.10317
530,10074.75298
532,9500.19329
534,8010.195584
536,10051.49151
538,12257.95272
540,13281.26597
542,7677.134197
544,8759.606222
546,7711.711503
548,9791.729853
550,8432.153117
552,7866.29623
554,12298.93044
556,9604.215601
558,5973.16583
560,6619.389231
562,10533.03328
564,11149.54164
566,17679.46971
568,10055.52667
570,10999.29106
572,11570.15242
574,14097.88505
576,8347.106041
578,9221.53235
580,9486.068083
582,5717.029824
584,8801.389882
586,11818.47875
588,16345.89047
590,12073.70538
592,11378.44367
594,9385.687316
596,7675.468996
598,10155.9346
600,13657.8438
602,14319.84529
604,8648.454471
606,6844.438216
608,7967.52987
610,10050.78913
612,11963.75317
614,10671.20486
616,8890.049495
618,7643.485575
620,12453.49402
622,13728.28797
624,14993.39393
626,12956.69771
628,13765.53881
630,11073.42277
632,11232.76702
634,10519.66312
636,6612.546865
638,7075.323131
640,6277.370874
642,9318.933052
644,9465.806039
646,6899.718968
648,8053.608436
650,9764.068059
652,9011.85489
654,8900.251451
656,8613.953
658,8935.38757
660,8737.563847
662,7772.524314
664,7326.56805
666,7312.357727
668,12546.6532
670,8683.614941
672,5688.952951
674,3308.954893
676,4000.681537
678,6748.31592
680,5733.154344
682,5889.088532
684,5629.88431
686,4637.455278
688,6467.35726
690,4366.062356
692,5930.270106
694,10737.0271
696,11359.63874
698,9344.599563
700,10026.08719
702,10488.39922
704,13556.1589
706,14344.9353
708,8382.528786
710,8954.773877
712,7267.876223
714,5464.986351
716,6487.629442
718,8784.65624
720,10002.0121
722,14947.46774
724,12803.49663
726,16795.60402
728,10753.11966
730,15175.66671
732,15184.70672
734,14200.25313
736,9760.903326
738,8508.12739
740,11953.06661
742,9906.423544
744,13447.35753
746,14449.7202
748,10015.85448
750,7580.249971
752,8128.238489
754,9335.084107
756,4637.071617
758,8247.700789
760,10154.13299
762,8303.072178
764,6484.800014
766,10151.16157
768,12836.68969
770,12997.63025
772,13293.14087
