f,S_rock
41.2,7282.3126
41.4,7809.230036
41.6,3872.84261
41.8,5715.079074
42,7692.635377
42.2,11040.71885
42.4,5477.404758
42.6,4201.0668
42.8,4597.064421
43,8118.367701
43.2,6675.293277
43.4,6805.522204
43.6,6672.553258
43.8,3859.333725
44,4880.049489
44.2,12166.43348
44.4,24918.4255
44.6,27507.31314
44.8,16169.90899
45,7081.454419
45.2,6497.624031
45.4,15135.24388
45.6,23857.80294
45.8,22628.54558
46,5410.447623
46.2,6358.290738
46.4,6544.045032
46.6,15351.82331
46.8,9023.549028
47,4472.543696
47.2,12354.29271
47.4,8758.397607
47.6,9854.36434
47.8,7409.189847
48,4908.998568
48.2,10070.50604
48.4,14512.53035
48.6,19121.35508
48.8,15102.99029
49,21443.3088
49.2,22966.78903
49.4,11752.98156
49.6,18311.0277
49.8,15100.60747
50,6775.587682
50.2,9086.620174
50.4,13635.94684
50.6,15888.42023
50.8,9720.203225
51,13308.04934
51.2,11974.6708
51.4,7852.383397
51.6,11230.47554
51.8,8959.681097
52,7068.418139
52.2,9000.768677
52.4,6515.56697
52.6,33010.48102
52.8,78465.54657
53,11355.82386
53.2,6828.709653
53.4,5971.12982
53.6,4972.167926
53.8,9058.690072
54,3631.414395
54.2,6724.694394
54.4,4285.754734
54.6,6003.481244
54.8,8513.429035
55,6793.093984
55.2,7379.219061
55.4,6399.565287
55.6,5200.332075
55.8,4297.017244
56,5731.634035
56.2,4309.973445
56.4,8298.35186
56.6,14998.63784
56.8,6497.763805
57,2736.894381
57.2,6533.928946
57.4,9586.465031
57.6,7053.824232
57.8,7634.849176
58,6230.418173
58.2,4772.769695
58.4,4036.710584
58.6,5168.337736
58.8,4335.882984
59,6058.096998
59.2,7006.923123
59.4,9675.145406
59.6,8188.869571
59.8,8627.93978
60,31881.84946
60.2,23217.40435
60.4,13079.12678
60.6,8860.083396
60.8,5853.620042
61,3740.378023
61.2,8928.112727
61.4,10952.69979
61.6,11556.53982
61.8,8636.539515
62,7376.601504
62.2,4895.688529
62.4,6347.389686
62.6,3086.985273
62.8,3053.150278
63,7173.000291
63.2,6864.061523
63.4,3572.776383
63.6,3878.40206
63.8,4505.215485
64,5252.481546
64.2,7517.914829
64.4,7087.865849
64.6,4625.709542
64.8,3394.238436
65,1868.110251
65.2,4696.047038
65.4,6279.453207
65.6,2305.043062
65.8,2865.073356
66,4958.997385
66.2,4674.311957
66.4,5580.665354
66.6,7670.562057
66.8,7578.854215
67,6284.523247
67.2,5643.555427
67.4,3755.358877
67.6,4924.800802
67.8,7009.974923
68,3638.222641
68.2,2999.498115
68.4,3818.1849
68.6,6757.299999
68.8,4839.718451
69,6139.023368
69.2,5084.732459
69.4,2638.121918
69.6,4413.635666
69.8,4024.579169
70,7133.269641
70.2,6991.009186
70.4,6559.449752
70.6,5533.582578
70.8,4080.999104
71,4738.006807
71.2,8724.498882
71.4,4662.714489
71.6,2191.0822
71.8,3023.986765
72,4993.114146
72.2,7805.267327
72.4,7543.217272
72.6,9925.158558
72.8,10058.2207
73,8219.373222
73.2,7009.450308
73.4,8675.920608
73.6,8715.35842
73.8,5683.476895
74,4641.163457
74.2,4934.095486
74.4,3738.791615
74.6,5130.091777
74.8,4370.37238
75,8828.113469
75.2,9842.229645
75.4,4761.552982
75.6,9963.765683
75.8,12600.49063
76,6324.449728
76.2,4038.849459
76.4,11345.75135
76.6,14187.01105
76.8,4933.609556
77,5456.525154
77.2,6631.902881
77.4,3809.922542
77.6,3251.633591
77.8,3894.391389
78,4632.309794
78.2,2332.467781
78.4,2646.927984
78.6,6165.383647
78.8,6191.874209
79,5988.154999
79.2,4194.347588
79.4,4936.036073
79.6,5889.129358
79.8,4380.030387
80,10360.23997
80.2,9916.094147
80.4,2968.83415
80.6,2164.177761
80.8,4249.236238
81,6698.076626
81.2,5082.871794
81.4,7041.663785
81.6,9596.087346
81.8,6085.714093
82,1868.922992
82.2,4146.373193
82.4,2983.681743
82.6,2723.563755
82.8,3481.522406
83,3962.699227
83.2,5639.725525
83.4,7579.217942
83.6,5395.166189
83.8,5739.539872
84,6742.169682
84.2,5217.358099
84.4,5016.582494
84.6,3996.81316
84.8,2813.128626
85,2034.154323
85.2,5273.069659
85.4,1679.3813
85.6,3630.786741
85.8,3142.002037
86,2726.54491
86.2,6379.097096
86.4,4675.231564
86.6,9955.851236
86.8,7313.94954
87,2933.385866
87.2,3605.949176
87.4,6024.158544
87.6,5258.991872
87.8,3850.353159
88,5753.96995
88.2,5881.762104
88.4,3298.270945
88.6,2057.941762
88.8,8108.474095
89,12070.31383
89.2,3920.769843
89.4,3604.026645
89.6,4658.819833
89.8,4630.993178
90,5416.365476
90.2,60923.55806
