f (Hz),PNA floor (dBc/Hz),VCO free (dBc/Hz),VCO locked (dBc/Hz)
2.32E+02,-1.14E+02,-57.6501987,-109.2872
2.34E+02,-1.14E+02,-57.3028358,-108.604994
2.36E+02,-1.14E+02,-57.065218,-108.343885
2.37E+02,-1.13E+02,-56.9747536,-108.166105
2.39E+02,-1.12E+02,-57.7991952,-108.542862
2.41E+02,-1.12E+02,-58.1690896,-109.099868
2.43E+02,-1.12E+02,-57.5842976,-108.586316
2.44E+02,-1.12E+02,-57.4317257,-108.935525
2.46E+02,-1.12E+02,-58.0402043,-108.412559
2.48E+02,-1.11E+02,-58.358738,-107.972732
2.50E+02,-1.11E+02,-60.2465436,-108.737814
2.52E+02,-1.10E+02,-61.0966634,-109.190405
2.53E+02,-1.11E+02,-60.9337594,-109.314532
2.55E+02,-1.10E+02,-61.0414956,-109.083532
2.57E+02,-1.11E+02,-61.0158761,-108.806076
2.59E+02,-1.11E+02,-60.5029332,-107.774341
2.61E+02,-1.11E+02,-60.5828573,-107.836066
2.63E+02,-1.11E+02,-61.1736185,-108.293205
2.65E+02,-1.11E+02,-61.6358636,-108.52585
2.67E+02,-1.11E+02,-61.0770764,-108.8475
2.69E+02,-1.11E+02,-61.1017476,-108.557803
2.71E+02,-1.12E+02,-61.2305169,-108.700835
2.72E+02,-1.12E+02,-61.4366662,-108.764678
2.74E+02,-1.12E+02,-61.0756078,-108.763027
2.76E+02,-1.13E+02,-60.9898686,-108.918821
2.78E+02,-1.13E+02,-61.3836369,-108.997208
2.81E+02,-1.13E+02,-62.3668152,-108.847391
2.83E+02,-1.12E+02,-62.0368287,-108.082098
2.85E+02,-1.13E+02,-61.6059808,-108.306307
2.87E+02,-1.13E+02,-62.1058794,-108.577715
2.89E+02,-1.12E+02,-61.578457,-108.630998
2.91E+02,-1.12E+02,-59.9370031,-107.836381
2.93E+02,-1.12E+02,-58.6963334,-107.214873
2.95E+02,-1.12E+02,-59.8248005,-107.653625
2.97E+02,-1.11E+02,-59.3971333,-107.774176
2.99E+02,-1.11E+02,-58.7604561,-107.839655
3.01E+02,-1.11E+02,-58.0777649,-108.391164
3.02E+02,-1.11E+02,-58.8447563,-108.739508
3.03E+02,-1.11E+02,-58.8391769,-108.547471
3.05E+02,-1.11E+02,-57.7912101,-108.700934
3.06E+02,-1.11E+02,-57.1468681,-108.438559
3.08E+02,-1.12E+02,-57.9525844,-109.415203
3.09E+02,-1.12E+02,-58.8776493,-110.024008
3.11E+02,-1.12E+02,-57.6623219,-110.397155
3.12E+02,-1.12E+02,-57.9364159,-111.173555
3.14E+02,-1.11E+02,-59.3343808,-111.455177
3.15E+02,-1.11E+02,-59.011345,-110.943304
3.17E+02,-1.12E+02,-58.0888554,-110.980482
3.19E+02,-1.12E+02,-57.8744008,-110.747883
3.20E+02,-1.13E+02,-58.7822659,-110.157565
3.22E+02,-1.13E+02,-59.4371994,-110.206182
3.23E+02,-1.14E+02,-60.0084926,-110.416246
3.25E+02,-1.14E+02,-60.3836711,-110.460431
3.26E+02,-1.14E+02,-61.5699054,-109.510689
3.28E+02,-1.14E+02,-61.6480571,-108.547309
3.30E+02,-1.15E+02,-61.4379458,-108.017627
3.31E+02,-1.14E+02,-61.9533686,-107.3564421
3.33E+02,-1.13E+02,-62.6911063,-106.7217941
3.34E+02,-1.13E+02,-63.4742964,-107.6333621
3.36E+02,-1.12E+02,-64.0187277,-107.8446731
3.38E+02,-1.12E+02,-64.7854762,-108.1763181
3.39E+02,-1.12E+02,-65.3755637,-108.1767411
3.41E+02,-1.12E+02,-65.5156016,-108.7408181
3.43E+02,-1.12E+02,-65.4521212,-108.9367731
3.44E+02,-1.13E+02,-65.7559904,-108.8598461
3.46E+02,-1.12E+02,-66.1831419,-109.2819911
3.48E+02,-1.12E+02,-67.3178392,-110.363202
3.49E+02,-1.12E+02,-67.4620233,-110.96569
3.51E+02,-1.13E+02,-67.6016245,-109.730544
3.53E+02,-1.13E+02,-67.2825415,-109.314869
3.54E+02,-1.13E+02,-66.7318293,-108.901529
3.56E+02,-1.13E+02,-66.623096,-108.370705
3.58E+02,-1.12E+02,-66.9340324,-107.297173
3.60E+02,-1.12E+02,-67.6996177,-107.480064
3.61E+02,-1.11E+02,-67.7511261,-107.735153
3.63E+02,-1.11E+02,-67.0396958,-107.829759
3.65E+02,-1.12E+02,-65.2527627,-107.271791
3.67E+02,-1.12E+02,-65.3391595,-107.626163
3.68E+02,-1.11E+02,-65.7357095,-108.461046
3.70E+02,-1.11E+02,-66.5483854,-109.251635
3.72E+02,-1.12E+02,-66.9325677,-109.850301
3.74E+02,-1.12E+02,-66.9743958,-110.504485
3.76E+02,-1.12E+02,-67.0333542,-111.68343
3.77E+02,-1.12E+02,-65.770451,-111.324213
3.79E+02,-1.13E+02,-65.4384712,-110.942876
3.81E+02,-1.14E+02,-65.8858467,-111.631083
3.83E+02,-1.14E+02,-66.551477,-112.180235
3.85E+02,-1.15E+02,-66.4417083,-111.562642
3.87E+02,-1.15E+02,-65.1402552,-110.864966
3.89E+02,-1.15E+02,-64.5420336,-110.809633
3.90E+02,-1.14E+02,-65.4700281,-110.783598
3.92E+02,-1.13E+02,-65.4922136,-110.137975
3.94E+02,-1.13E+02,-66.2560984,-109.654546
3.96E+02,-1.13E+02,-66.4067748,-110.035663
3.98E+02,-1.12E+02,-66.7752116,-110.784628
4.00E+02,-1.12E+02,-66.4621706,-110.36709
4.02E+02,-1.12E+02,-66.8519602,-109.869515
4.04E+02,-1.13E+02,-67.0527407,-109.955808
4.06E+02,-1.14E+02,-67.9012252,-111.185135
4.08E+02,-1.14E+02,-67.7196242,-110.956234
4.10E+02,-1.15E+02,-67.2827949,-110.239227
4.12E+02,-1.15E+02,-66.9468292,-110.016453
4.14E+02,-1.15E+02,-65.8252696,-109.958123
4.16E+02,-1.14E+02,-66.1779933,-109.760743
4.18E+02,-1.14E+02,-66.0735767,-108.997261
4.20E+02,-1.14E+02,-65.7768173,-108.511109
4.22E+02,-1.15E+02,-66.1879036,-108.686737
4.24E+02,-1.14E+02,-66.7362991,-109.084613
4.26E+02,-1.13E+02,-67.3567786,-108.144763
4.28E+02,-1.13E+02,-68.0016616,-108.214189
4.30E+02,-1.13E+02,-67.9065657,-108.753887
4.32E+02,-1.13E+02,-68.8316245,-108.941929
4.34E+02,-1.13E+02,-69.7460376,-109.692261
4.37E+02,-1.13E+02,-69.5305377,-109.775003
4.39E+02,-1.13E+02,-69.8030703,-109.871618
4.41E+02,-1.12E+02,-70.353881,-110.131351
4.43E+02,-1.11E+02,-69.8633788,-110.028842
4.45E+02,-1.11E+02,-69.1665313,-110.011914
4.47E+02,-1.11E+02,-68.7061256,-110.64001
4.49E+02,-1.11E+02,-68.4497802,-110.218556
4.52E+02,-1.11E+02,-68.4351242,-109.609169
4.54E+02,-1.11E+02,-67.8191455,-109.807279
4.56E+02,-1.11E+02,-68.0749149,-109.650703
4.58E+02,-1.11E+02,-68.2850215,-109.941782
4.60E+02,-1.11E+02,-68.9467258,-110.68089
4.63E+02,-1.11E+02,-68.4880504,-110.865901
4.65E+02,-1.11E+02,-67.5125366,-111.463462
4.67E+02,-1.10E+02,-66.5991287,-111.154326
4.69E+02,-1.10E+02,-66.1849739,-110.951615
4.72E+02,-1.10E+02,-65.3889199,-111.372094
4.74E+02,-1.10E+02,-65.4545235,-113.081084
4.76E+02,-1.10E+02,-65.2991162,-113.295146
4.79E+02,-1.10E+02,-64.3622204,-113.868017
4.81E+02,-1.10E+02,-64.1449482,-114.465176
4.83E+02,-1.11E+02,-63.5156033,-114.713269
4.86E+02,-1.11E+02,-64.2053516,-114.033704
4.88E+02,-1.12E+02,-65.1958732,-113.594424
4.90E+02,-1.13E+02,-66.1743789,-113.91586
4.93E+02,-1.13E+02,-66.318032,-113.318444
4.95E+02,-1.14E+02,-67.0956237,-113.178402
4.98E+02,-1.14E+02,-66.8055076,-112.192508
5.00E+02,-1.15E+02,-67.6188774,-112.08684
5.02E+02,-1.15E+02,-68.0007584,-111.970797
5.05E+02,-1.15E+02,-68.2191033,-111.443533
5.07E+02,-1.13E+02,-67.9095383,-110.848112
